,group,gene,expression_proportion,average_expression
0,monocyte,CD79A,0.058370707544012315,0.38802823
60,"CD8-positive, alpha-beta T cell",CD79A,0.1522887323943662,1.049827
140,alpha-beta T cell,CD79A,0.05114638447971781,0.3672917
20,B cell,CD79A,0.5166666666666667,3.4656131
100,dendritic cell,CD79A,0.10174029451137885,0.6809302
180,plasmacytoid dendritic cell,CD79A,0.15990990990990991,1.1129682
40,"CD4-positive, alpha-beta T cell",CD79A,0.11028500619578686,0.7450761
80,platelet,CD79A,0.12373453318335208,0.8642818
160,plasmablast,CD79A,0.23542600896860988,1.6168115
120,natural killer cell,CD79A,0.14545454545454545,1.0083286
21,B cell,MS4A1,0.49117647058823527,3.2880328
61,"CD8-positive, alpha-beta T cell",MS4A1,0.15933098591549297,1.102384
161,plasmablast,MS4A1,0.2085201793721973,1.4337715
181,plasmacytoid dendritic cell,MS4A1,0.19594594594594594,1.3571051
81,platelet,MS4A1,0.14173228346456693,0.9887763
41,"CD4-positive, alpha-beta T cell",MS4A1,0.11028500619578686,0.7411639
101,dendritic cell,MS4A1,0.09370816599732262,0.62690246
141,alpha-beta T cell,MS4A1,0.07936507936507936,0.5694076
1,monocyte,MS4A1,0.05478947720730973,0.36652216
121,natural killer cell,MS4A1,0.1606060606060606,1.1132859
42,"CD4-positive, alpha-beta T cell",TSHZ2,0.1412639405204461,0.8892975
162,plasmablast,TSHZ2,0.042600896860986545,0.2898358
142,alpha-beta T cell,TSHZ2,0.10052910052910052,0.69897246
122,natural killer cell,TSHZ2,0.03636363636363636,0.24650054
62,"CD8-positive, alpha-beta T cell",TSHZ2,0.02992957746478873,0.19990936
102,dendritic cell,TSHZ2,0.024096385542168676,0.14843267
22,B cell,TSHZ2,0.041176470588235294,0.27485633
2,monocyte,TSHZ2,0.013220429747640405,0.085695796
82,platelet,TSHZ2,0.019122609673790775,0.13088618
182,plasmacytoid dendritic cell,TSHZ2,0.038288288288288286,0.26731
123,natural killer cell,SERINC5,0.05757575757575758,0.38243592
143,alpha-beta T cell,SERINC5,0.12345679012345678,0.88011855
183,plasmacytoid dendritic cell,SERINC5,0.05630630630630631,0.38760287
103,dendritic cell,SERINC5,0.11244979919678715,0.681487
43,"CD4-positive, alpha-beta T cell",SERINC5,0.12391573729863693,0.78423995
163,plasmablast,SERINC5,0.06726457399103139,0.46637186
63,"CD8-positive, alpha-beta T cell",SERINC5,0.06426056338028169,0.4276745
23,B cell,SERINC5,0.052941176470588235,0.35332364
83,platelet,SERINC5,0.06299212598425197,0.4298777
3,monocyte,SERINC5,0.06332418501907758,0.40495884
4,monocyte,LTB,0.2910837405448825,1.9230227
64,"CD8-positive, alpha-beta T cell",LTB,0.5721830985915493,3.944302
144,alpha-beta T cell,LTB,0.3262786596119929,2.338263
124,natural killer cell,LTB,0.5666666666666667,3.9063454
164,plasmablast,LTB,0.5695067264573991,3.981015
24,B cell,LTB,0.7323529411764705,5.020087
104,dendritic cell,LTB,0.3748326639892905,2.4773335
184,plasmacytoid dendritic cell,LTB,0.5563063063063063,3.9038668
44,"CD4-positive, alpha-beta T cell",LTB,0.8426270136307311,5.710063
84,platelet,LTB,0.4814398200224972,3.3576062
45,"CD4-positive, alpha-beta T cell",IL7R,0.7769516728624535,5.207238
125,natural killer cell,IL7R,0.4666666666666667,3.2137628
105,dendritic cell,IL7R,0.250334672021419,1.6646138
165,plasmablast,IL7R,0.5179372197309418,3.6157465
65,"CD8-positive, alpha-beta T cell",IL7R,0.5070422535211268,3.4890313
25,B cell,IL7R,0.37058823529411766,2.560141
5,monocyte,IL7R,0.17581498092241785,1.1757913
185,plasmacytoid dendritic cell,IL7R,0.48423423423423423,3.3963573
145,alpha-beta T cell,IL7R,0.41975308641975306,3.0307455
85,platelet,IL7R,0.36332958380202474,2.5433292
86,platelet,NKG7,0.6467941507311586,4.5735664
66,"CD8-positive, alpha-beta T cell",NKG7,0.886443661971831,6.1885347
106,dendritic cell,NKG7,0.6091030789825971,3.9823067
46,"CD4-positive, alpha-beta T cell",NKG7,0.5551425030978935,3.792485
166,plasmablast,NKG7,0.8452914798206278,5.9991994
6,monocyte,NKG7,0.48821875627552047,3.2446067
186,plasmacytoid dendritic cell,NKG7,0.8175675675675675,5.802786
146,alpha-beta T cell,NKG7,0.5008818342151675,3.646703
26,B cell,NKG7,0.6284313725490196,4.3921766
126,natural killer cell,NKG7,0.9333333333333333,6.543154
7,monocyte,CST7,0.18314478880781845,1.2205695
87,platelet,CST7,0.36220472440944884,2.5276914
187,plasmacytoid dendritic cell,CST7,0.48873873873873874,3.4163346
167,plasmablast,CST7,0.4798206278026906,3.3510804
27,B cell,CST7,0.3235294117647059,2.2274888
107,dendritic cell,CST7,0.2744310575635877,1.7795652
127,natural killer cell,CST7,0.6333333333333333,4.2961507
147,alpha-beta T cell,CST7,0.2257495590828924,1.6306766
47,"CD4-positive, alpha-beta T cell",CST7,0.3506815365551425,2.3309336
67,"CD8-positive, alpha-beta T cell",CST7,0.5836267605633803,3.9786386
48,"CD4-positive, alpha-beta T cell",CTSW,0.36926889714993805,2.4443634
128,natural killer cell,CTSW,0.5909090909090909,3.9992383
8,monocyte,CTSW,0.14545819666644352,0.97056234
88,platelet,CTSW,0.35208098987626546,2.4423072
68,"CD8-positive, alpha-beta T cell",CTSW,0.49471830985915494,3.3655982
188,plasmacytoid dendritic cell,CTSW,0.3738738738738739,2.6071546
168,plasmablast,CTSW,0.4192825112107623,2.9244895
148,alpha-beta T cell,CTSW,0.2292768959435626,1.655844
28,B cell,CTSW,0.30196078431372547,2.0768914
108,dendritic cell,CTSW,0.2543507362784471,1.6694633
169,plasmablast,PRF1,0.39461883408071746,2.7523973
129,natural killer cell,PRF1,0.5121212121212121,3.4507987
109,dendritic cell,PRF1,0.17402945113788487,1.1661485
149,alpha-beta T cell,PRF1,0.2257495590828924,1.6368166
189,plasmacytoid dendritic cell,PRF1,0.2972972972972973,2.0721705
89,platelet,PRF1,0.24859392575928008,1.7308465
9,monocyte,PRF1,0.1213936675814981,0.80788195
69,"CD8-positive, alpha-beta T cell",PRF1,0.4154929577464789,2.827285
29,B cell,PRF1,0.24411764705882352,1.688806
49,"CD4-positive, alpha-beta T cell",PRF1,0.241635687732342,1.6295666
110,dendritic cell,JCHAIN,0.02677376171352075,0.17401083
170,plasmablast,JCHAIN,0.4551569506726457,3.1947606
30,B cell,JCHAIN,0.14411764705882352,0.9365063
190,plasmacytoid dendritic cell,JCHAIN,0.0945945945945946,0.6614401
150,alpha-beta T cell,JCHAIN,0.021164021164021163,0.15100451
70,"CD8-positive, alpha-beta T cell",JCHAIN,0.058098591549295774,0.39820305
90,platelet,JCHAIN,0.04161979752530934,0.29053912
50,"CD4-positive, alpha-beta T cell",JCHAIN,0.03345724907063197,0.22235161
10,monocyte,JCHAIN,0.018508601646696567,0.12233381
130,natural killer cell,JCHAIN,0.03939393939393939,0.2750694
31,B cell,MZB1,0.0803921568627451,0.5066488
191,plasmacytoid dendritic cell,MZB1,0.0472972972972973,0.32370797
171,plasmablast,MZB1,0.3071748878923767,2.1304667
51,"CD4-positive, alpha-beta T cell",MZB1,0.013630731102850062,0.087223426
111,dendritic cell,MZB1,0.0107095046854083,0.06469208
