,group,gene,expression_proportion,average_expression
0,"CD4-positive, alpha-beta T cell",CD79A,0.047305288055414764,0.30879393
60,B cell,CD79A,0.9559773038544316,6.6154265
140,plasmacytoid dendritic cell,CD79A,0.17557251908396945,1.1462975
20,"CD8-positive, alpha-beta T cell",CD79A,0.040148896570061154,0.25620198
100,dendritic cell,CD79A,0.08247422680412371,0.49463594
180,plasmablast,CD79A,0.6857142857142857,4.545714
40,monocyte,CD79A,0.058370707544012315,0.38802823
80,natural killer cell,CD79A,0.051747772446881425,0.32713476
160,platelet,CD79A,0.11864406779661017,0.78155637
120,alpha-beta T cell,CD79A,0.031135531135531136,0.22143658
21,"CD8-positive, alpha-beta T cell",MS4A1,0.05503855357617655,0.3564266
61,B cell,MS4A1,0.9031500684797495,6.1847086
161,platelet,MS4A1,0.1271186440677966,0.85629827
181,plasmablast,MS4A1,0.4785714285714286,3.1762366
81,natural killer cell,MS4A1,0.04009595613433859,0.2512737
41,monocyte,MS4A1,0.05478947720730973,0.36652216
101,dendritic cell,MS4A1,0.06872852233676977,0.40312618
141,plasmacytoid dendritic cell,MS4A1,0.15267175572519084,1.0205923
1,"CD4-positive, alpha-beta T cell",MS4A1,0.0337894914681534,0.21834044
121,alpha-beta T cell,MS4A1,0.021062271062271064,0.14837632
42,monocyte,TSHZ2,0.013220429747640405,0.085695796
162,platelet,TSHZ2,0.03389830508474576,0.22745991
142,plasmacytoid dendritic cell,TSHZ2,0.022900763358778626,0.14028554
122,alpha-beta T cell,TSHZ2,0.2097069597069597,1.462214
62,B cell,TSHZ2,0.023870084132263745,0.15255468
102,dendritic cell,TSHZ2,0.030927835051546393,0.17869051
22,"CD8-positive, alpha-beta T cell",TSHZ2,0.010502525923956394,0.06296784
2,"CD4-positive, alpha-beta T cell",TSHZ2,0.15205271160669032,0.9988394
82,natural killer cell,TSHZ2,0.00822481151473612,0.050694983
182,plasmablast,TSHZ2,0.02857142857142857,0.17053215
123,alpha-beta T cell,SERINC5,0.22802197802197802,1.6082108
143,plasmacytoid dendritic cell,SERINC5,0.030534351145038167,0.18769738
183,plasmablast,SERINC5,0.014285714285714285,0.089260384
103,dendritic cell,SERINC5,0.11683848797250859,0.66703933
43,monocyte,SERINC5,0.06332418501907758,0.40495884
163,platelet,SERINC5,0.03389830508474576,0.20013696
63,B cell,SERINC5,0.026217961260027393,0.17008778
23,"CD8-positive, alpha-beta T cell",SERINC5,0.04294070725870779,0.27012312
83,natural killer cell,SERINC5,0.02844413982179575,0.17833723
3,"CD4-positive, alpha-beta T cell",SERINC5,0.17486061834769387,1.1453756
4,"CD4-positive, alpha-beta T cell",LTB,0.9734752491974996,6.746212
64,B cell,LTB,0.924476619056936,6.392785
144,plasmacytoid dendritic cell,LTB,0.5801526717557252,3.8683457
124,alpha-beta T cell,LTB,0.5659340659340659,4.0520053
164,platelet,LTB,0.4406779661016949,2.9717922
24,"CD8-positive, alpha-beta T cell",LTB,0.41199149162456794,2.7107432
104,dendritic cell,LTB,0.46048109965635736,2.782918
184,plasmablast,LTB,0.6285714285714286,4.276741
44,monocyte,LTB,0.2910837405448825,1.9230227
84,natural killer cell,LTB,0.28135709389993147,1.8189082
45,monocyte,IL7R,0.17581498092241785,1.1757913
125,alpha-beta T cell,IL7R,0.608058608058608,4.357905
105,dendritic cell,IL7R,0.22336769759450173,1.3452742
165,platelet,IL7R,0.3474576271186441,2.3330193
65,B cell,IL7R,0.12932889845431422,0.84714377
25,"CD8-positive, alpha-beta T cell",IL7R,0.48657272002127094,3.2454925
5,"CD4-positive, alpha-beta T cell",IL7R,0.9305625950329448,6.38759
185,plasmablast,IL7R,0.2642857142857143,1.7669849
145,plasmacytoid dendritic cell,IL7R,0.3893129770992366,2.650195
85,natural killer cell,IL7R,0.1987662782727896,1.2891814
86,natural killer cell,NKG7,0.9989718985606579,6.9538145
66,B cell,NKG7,0.21130894149872823,1.4060087
