,threshold,percentage,acc,f1
unimap,0.0,1.0,0.7594943240454076,0.69624432637979
unimap,0.01,1.0,0.7594943240454076,0.69624432637979
unimap,0.02,1.0,0.7594943240454076,0.69624432637979
unimap,0.03,1.0,0.7594943240454076,0.69624432637979
unimap,0.04,1.0,0.7594943240454076,0.69624432637979
unimap,0.05,1.0,0.7594943240454076,0.69624432637979
unimap,0.06,1.0,0.7594943240454076,0.69624432637979
unimap,0.07,1.0,0.7594943240454076,0.69624432637979
unimap,0.08,0.9978328173374613,0.7610921501706485,0.6983175604476495
unimap,0.09,0.9884932920536635,0.767865532181448,0.706957853831096
unimap,0.1,0.973374613003096,0.7786259541984732,0.7203716718334279
unimap,0.11,0.9559339525283798,0.7908884810536543,0.7358635099881466
unimap,0.12,0.937203302373581,0.8041623079887684,0.752572586668125
unimap,0.13,0.9201754385964912,0.8166320865810576,0.7684398153526332
unimap,0.14,0.9054695562435501,0.8271597902894917,0.7815822036241842
unimap,0.15,0.8901960784313725,0.8378738696962671,0.795172946136124
unimap,0.16,0.878173374613003,0.8463481990716258,0.8056767764539172
unimap,0.17,0.8662538699690403,0.854955920895878,0.816580515601584
unimap,0.18,0.8562435500515996,0.8621188381342654,0.8255190394765142
unimap,0.19,0.8459752321981424,0.8689234522720342,0.8336605458606374
unimap,0.2,0.8366357069143446,0.8746762057481189,0.8408952732017198
unimap,0.21,0.8285345717234263,0.8798654792302423,0.8473053888781977
unimap,0.22,0.8209494324045408,0.8850408548082966,0.8538078952221776
unimap,0.23,0.8132610939112487,0.8897278091491657,0.8597695772700519
unimap,0.24,0.805108359133127,0.8952765493815292,0.8668211279900845
unimap,0.25,0.7979876160990712,0.9002263174911089,0.8728635809350425
unimap,0.26,0.7919504643962848,0.9035704977847276,0.8769925569829705
unimap,0.27,0.7863261093911249,0.9072117593017914,0.8817754231092532
unimap,0.28,0.7806501547987617,0.9111639896886774,0.8866171673447004
unimap,0.29,0.7738390092879257,0.9152497166099887,0.8918932097834584
unimap,0.3,0.7695562435500516,0.9171919002279737,0.8944048281087599
unimap,0.31,0.7643446852425181,0.9205427664888949,0.8983982145255486
unimap,0.32,0.7586687306501548,0.9236210297218255,0.9022447599407152
unimap,0.33,0.7533023735810114,0.9260908281389136,0.9053079808493931
unimap,0.34,0.7490712074303405,0.9278776606736929,0.9076029922555129
unimap,0.35,0.7437564499484004,0.9302761204384626,0.910790583648774
unimap,0.36,0.7379256965944272,0.9328019019648975,0.9140103649878651
unimap,0.37,0.7328689370485036,0.9351545448144758,0.9167866168850951
unimap,0.38,0.7280701754385965,0.9379163713678242,0.9202891458436266
unimap,0.39,0.7230134158926729,0.9402654867256637,0.9232409813631249
unimap,0.4,0.7180598555211558,0.9420091980454154,0.9255882853912338
unimap,0.41,0.7144478844169246,0.943954932832587,0.9280509455729322
unimap,0.42,0.710577915376677,0.9453924914675768,0.9297824186019518
unimap,0.43,0.7065531475748194,0.9470532388811802,0.93187864106763
unimap,0.44,0.7028895768833849,0.9486859491998239,0.9339317567960755
unimap,0.45,0.7001031991744066,0.9492924528301887,0.9346666670449137
unimap,0.46,0.6963364293085655,0.9512412004446091,0.9371862056194462
unimap,0.47,0.6927760577915376,0.9524802621778639,0.9387447507577967
unimap,0.48,0.68890608875129,0.9538611339974534,0.9405195511785124
unimap,0.49,0.6855521155830754,0.9555923528526268,0.9426980298724372
unimap,0.5,0.6810113519091847,0.9575693286861646,0.9451426136523886
unimap,0.51,0.6761609907120743,0.9596306471306472,0.9478069492308933
unimap,0.52,0.6721362229102167,0.9607707661599877,0.9493085264367542
unimap,0.53,0.6680082559339525,0.9622277151243628,0.9511069208232724
unimap,0.54,0.6641898864809082,0.9634866376631448,0.9528213833668816
unimap,0.55,0.6605263157894737,0.9641434262948207,0.9536065736678332
unimap,0.56,0.6558823529411765,0.965069624734482,0.9547994468041172
unimap,0.57,0.6525283797729619,0.9655226949232959,0.9552920541194418
unimap,0.58,0.6489164086687307,0.9665235368956743,0.956618459589382
unimap,0.59,0.6450980392156863,0.967765157574788,0.9581834780817856
unimap,0.6,0.6414860681114551,0.9691924066924067,0.9601426634869441
unimap,0.61,0.6367389060887513,0.9701782820097244,0.9614568819458091
unimap,0.62,0.632765737874097,0.9708880371850281,0.9624318785836673
unimap,0.63,0.6279669762641898,0.9718159408381265,0.9636689691534847
unimap,0.64,0.6236326109391125,0.9731093827569088,0.9654082481972507
unimap,0.65,0.6189886480908152,0.9739079693231077,0.9665208631671817
unimap,0.66,0.614499484004128,0.9745570576874633,0.9673759850335284
unimap,0.67,0.6092363261093912,0.9750995172355382,0.968084698489296
unimap,0.68,0.6054179566563468,0.9753686184266599,0.9683882129842395
unimap,0.69,0.6014963880288958,0.9758943124302993,0.9689763565451461
unimap,0.7,0.595562435500516,0.9766938138970715,0.9700431303644316
unimap,0.71,0.5900412796697626,0.9770878880629645,0.9704813639539239
unimap,0.72,0.5850361197110423,0.977950255777033,0.9716028694106278
unimap,0.73,0.5798245614035088,0.9789979531903533,0.9729356264629908
unimap,0.74,0.5741486068111455,0.9795093016985711,0.9735493157325191
unimap,0.75,0.5682146542827657,0.9801126044315293,0.9743321185268381
unimap,0.76,0.5622807017543859,0.9805451041571075,0.9748307071276787
unimap,0.77,0.5560887512899897,0.9811635891249884,0.9756207903247178
unimap,0.78,0.5506707946336429,0.9818215892053973,0.9765451371719269
unimap,0.79,0.5434468524251806,0.982719331560957,0.9778043360353099
unimap,0.8,0.5369453044375645,0.9827983855467999,0.9779056728666169
unimap,0.81,0.5301341589267285,0.9837453766789955,0.9790089401845301
unimap,0.82,0.5229102167182662,0.9843102427471877,0.9798237976513765
unimap,0.83,0.5152734778121775,0.9853795313438815,0.9813440062124257
unimap,0.84,0.5067595459236326,0.9862539456267183,0.982490372695962
unimap,0.85,0.49912280701754386,0.9871808125710742,0.9837137315100793
unimap,0.86,0.4908152734778122,0.9876997476871321,0.9844097814706892
unimap,0.87,0.48147574819401445,0.9879969992498124,0.9847490768816575
unimap,0.88,0.4714138286893705,0.9885070052539404,0.9855029468900159
unimap,0.89,0.46176470588235297,0.9890490557604201,0.9862081235560706
unimap,0.9,0.4502579979360165,0.9898005959202384,0.987162602619239
unimap,0.91,0.4369453044375645,0.9906707605101559,0.9883667047145968
unimap,0.92,0.4215686274509804,0.9916768665850674,0.9897618738822667
unimap,0.93,0.4041279669762642,0.9923391215526047,0.9905470909964299
unimap,0.94,0.38544891640866874,0.9937081659973226,0.9923641202103812
unimap,0.95,0.3635190918472652,0.9948899929027679,0.9939497907432701
