Name,logfc,pvals_adj,celltype,fc
CD74,9.193059,0.0,Macrophage Cell,585.3107
TYROBP,11.459831,0.0,Macrophage Cell,2816.78
SRGN,8.972422,0.0,Macrophage Cell,502.30563
FCER1G,11.074681,0.0,Macrophage Cell,2156.807
C1QB,10.651985,0.0,Macrophage Cell,1609.0408
C1QC,11.2448635,0.0,Macrophage Cell,2426.8403
CD14,8.605626,0.0,Macrophage Cell,389.53958
LAPTM5,10.212801,0.0,Macrophage Cell,1186.7505
CD83,7.8803062,0.0,Macrophage Cell,235.61806
CD163,11.095236,0.0,Macrophage Cell,2187.7554
GPR183,8.703239,0.0,Macrophage Cell,416.80807
HCST,9.471218,0.0,Macrophage Cell,709.7751
CCL3,7.6198835,0.0,Macrophage Cell,196.70415
CTSS,8.349217,0.0,Macrophage Cell,326.11057
B2M,0.8098268,0.0,Macrophage Cell,1.753001
VAMP8,8.119073,0.0,Macrophage Cell,278.0254
LST1,8.888125,0.0,Macrophage Cell,473.79706
CST3,1.5877472,0.0,Macrophage Cell,3.0057964
CSF1R,10.515841,0.0,Macrophage Cell,1464.1427
ITGB2,9.62341,0.0,Macrophage Cell,788.7423
F13A1,9.882623,0.0,Macrophage Cell,943.9867
SGK1,5.805336,0.0,Macrophage Cell,55.921688
MS4A7,10.629458,4.3286843643e-314,Macrophage Cell,1584.1118
RGS1,9.164214,7.99287732311243e-310,Macrophage Cell,573.7244
MAFB,5.9181395,1.839614286458416e-307,Macrophage Cell,60.469658
MS4A4A,10.05918,8.523822560925246e-284,Macrophage Cell,1066.8785
PTPRC,8.390992,2.895350776794785e-259,Macrophage Cell,335.6915
VSIG4,9.915752,3.9463137089477424e-257,Macrophage Cell,965.915
PLAUR,5.863409,2.6332352452981716e-257,Macrophage Cell,58.21863
C5AR1,9.089322,7.506228109925454e-251,Macrophage Cell,544.7015
HCLS1,7.8016376,1.532380720467148e-248,Macrophage Cell,223.11407
KLF6,3.943408,7.40998536864646e-263,Macrophage Cell,15.384525
MSR1,10.293253,5.3791393546931264e-244,Macrophage Cell,1254.8097
REL,5.4597573,3.360116353705224e-244,Macrophage Cell,44.009933
ALOX5AP,8.285383,7.086256686772096e-239,Macrophage Cell,311.99588
SPI1,8.183778,5.627693117365449e-235,Macrophage Cell,290.77872
GMFG,7.2766695,1.7115506206673828e-235,Macrophage Cell,155.05856
LYVE1,8.99981,6.303458870531412e-234,Macrophage Cell,511.93265
RGS10,7.0017347,3.0395332522036975e-230,Macrophage Cell,128.154
S100A9,6.4758015,1.3952718214076452e-224,Macrophage Cell,89.004196
SLC2A5,9.103061,2.7545636946833286e-219,Macrophage Cell,549.9134
RNASE6,9.383223,5.432103805222306e-219,Macrophage Cell,667.77704
FGL2,6.177447,2.6816489731398383e-217,Macrophage Cell,72.37637
CORO1A,7.7458954,8.67734833543864e-216,Macrophage Cell,214.65788
APOE,4.9143863,2.1257837524723357e-216,Macrophage Cell,30.156275
CD53,8.211999,4.536685577110419e-207,Macrophage Cell,296.52274
STAB1,7.8970795,4.107572020008033e-207,Macrophage Cell,238.37341
C3AR1,9.670156,1.340548969218325e-201,Macrophage Cell,814.71716
SLC1A3,8.601071,3.4284569002248897e-193,Macrophage Cell,388.3117
FOLR2,8.700245,1.854640163784498e-191,Macrophage Cell,415.94382
ELF1,5.0290723,2.6744943373251227e-191,Macrophage Cell,32.651386
PLEK,8.337808,1.4033369845919792e-186,Macrophage Cell,323.54166
MRC1,9.476046,1.908286462140697e-186,Macrophage Cell,712.1541
SLCO2B1,8.1845665,2.6544498559176702e-186,Macrophage Cell,290.9377
TNFRSF1B,6.5484266,2.5476713362645504e-185,Macrophage Cell,93.59935
TREM2,9.315723,3.9300521252886836e-178,Macrophage Cell,637.2534
SLC11A1,7.1327763,5.524479570795132e-177,Macrophage Cell,140.3394
LCP1,7.407456,4.109143980344105e-176,Macrophage Cell,169.77214
PYCARD,5.320168,1.1106846884009829e-175,Macrophage Cell,39.95123
RNF144B,7.347065,5.239793041468386e-174,Macrophage Cell,162.8122
BST2,4.6733265,3.795045159206468e-176,Macrophage Cell,25.515932
CXCR4,6.5189695,1.5878715258224222e-172,Macrophage Cell,91.70761
MARCKS,4.1850123,3.5372039273819243e-174,Macrophage Cell,18.189228
HAVCR2,8.702723,8.18917344651538e-169,Macrophage Cell,416.65878
IL1B,6.9732647,1.456892096294568e-167,Macrophage Cell,125.64981
ARRB2,5.5396085,1.0089014913838482e-167,Macrophage Cell,46.514496
FAM49B,5.032111,2.249585778758669e-167,Macrophage Cell,32.720234
SAMSN1,7.426109,4.742788499775075e-165,Macrophage Cell,171.98141
TNFAIP3,5.1276436,2.6412618154159787e-161,Macrophage Cell,34.96025
KCTD12,4.2583933,1.333341104304285e-162,Macrophage Cell,19.138332
NR4A2,3.993459,5.215529941561118e-162,Macrophage Cell,15.927622
PLTP,4.559024,4.834047818114513e-160,Macrophage Cell,23.572353
CTSC,4.736823,9.857793420371686e-155,Macrophage Cell,26.664032
CD86,9.232886,4.962340222228892e-152,Macrophage Cell,601.69403
LY96,5.6948586,6.182909617387737e-152,Macrophage Cell,51.79922
SLA,7.217143,3.123859706516037e-150,Macrophage Cell,148.79095
RNASE1,4.356166,1.7057742610362657e-148,Macrophage Cell,20.480312
CD93,7.3012757,4.982241242072562e-146,Macrophage Cell,157.72589
GPSM3,5.5624394,6.132549844232249e-144,Macrophage Cell,47.25645
SH3BGRL3,3.7893918,1.9410885875137944e-144,Macrophage Cell,13.826765
HMOX1,5.330101,1.4626697826245747e-141,Macrophage Cell,40.22724
ABL2,4.1277533,5.546228739728992e-142,Macrophage Cell,17.481455
INSIG1,3.884406,6.950006453119597e-141,Macrophage Cell,14.768036
CTSH,4.460561,4.5894868666022914e-135,Macrophage Cell,22.017225
NCF4,8.064497,7.099994663642284e-134,Macrophage Cell,267.70438
OTUD1,4.54155,1.8592502065574375e-132,Macrophage Cell,23.28857
CD84,7.8364797,1.2050752077943197e-129,Macrophage Cell,228.56801
