Name,logfc,pvals_adj,celltype,fc
TYROBP,12.833385,0.0,Macrophage Cell,7298.506
CD74,7.8244557,0.0,Macrophage Cell,226.67096
SRGN,10.867396,0.0,Macrophage Cell,1868.1523
FCER1G,12.465365,0.0,Macrophage Cell,5655.212
CSF1R,12.305082,0.0,Macrophage Cell,5060.5635
RGS1,11.152898,3.994701674105194e-288,Macrophage Cell,2276.9673
CD83,10.494459,8.420207328117249e-270,Macrophage Cell,1442.6035
VMO1,8.321368,1.0119917499826217e-255,Macrophage Cell,319.87582
B2M,1.9681867,0.0,Macrophage Cell,3.9127603
CD14,9.715877,1.2157645363066705e-227,Macrophage Cell,840.9502
FGL2,9.142707,1.769900116252636e-207,Macrophage Cell,565.235
APOE,6.1460533,1.9548506873856626e-220,Macrophage Cell,70.81845
C1QB,10.287541,2.1524310602508123e-197,Macrophage Cell,1249.8518
C1QC,10.601419,5.322095224064507e-194,Macrophage Cell,1553.6217
MS4A7,11.439131,3.690463105749606e-191,Macrophage Cell,2776.6523
PRCP,7.9852796,8.519946621575191e-181,Macrophage Cell,253.4012
CCL3,10.467191,1.6808636960240892e-172,Macrophage Cell,1415.5929
STAB1,9.083841,5.189658056795704e-139,Macrophage Cell,542.6361
CST3,2.5441709,4.99026773273334e-150,Macrophage Cell,5.8327284
CD48,8.069794,1.2819681312704729e-124,Macrophage Cell,268.68903
ALOX5AP,9.811729,5.634751636164851e-124,Macrophage Cell,898.72095
KCTD12,5.5806103,3.7206222260200146e-123,Macrophage Cell,47.855415
RNASE6,9.670303,2.738211180672158e-119,Macrophage Cell,814.80066
NR4A2,4.74693,1.6117398415933396e-120,Macrophage Cell,26.851488
PTPRC,7.62808,1.3984719627606795e-112,Macrophage Cell,197.82486
IL1B,10.12292,7.133441845107831e-112,Macrophage Cell,1115.071
MARCKS,3.8170152,5.166643857453614e-112,Macrophage Cell,14.094058
GPR34,9.554457,5.27130137872392e-101,Macrophage Cell,751.9311
GPR183,7.0460405,5.116849082123009e-101,Macrophage Cell,132.15073
LST1,8.957322,2.2708556473198562e-100,Macrophage Cell,497.0758
CTSS,6.01288,9.836141943803558e-94,Macrophage Cell,64.57393
CD163,9.575507,5.366831809931814e-92,Macrophage Cell,762.98303
FOLR2,8.787814,6.078801535399296e-91,Macrophage Cell,441.97293
CCL2,6.3692093,5.6276070874388124e-89,Macrophage Cell,82.66526
TNF,9.390198,2.571446853294116e-88,Macrophage Cell,671.0134
COTL1,5.2388554,2.2158222419432864e-88,Macrophage Cell,37.76179
PLEK,9.418096,4.877884885821719e-87,Macrophage Cell,684.1153
IER3,3.8963265,1.6481640146291025e-85,Macrophage Cell,14.890565
SORL1,4.4174094,7.903371600045904e-84,Macrophage Cell,21.368437
CD53,7.7961197,2.6515672888189122e-80,Macrophage Cell,222.26234
LCP1,6.504712,1.0050484691437811e-78,Macrophage Cell,90.80577
MMP9,7.4097104,1.188914408600896e-76,Macrophage Cell,170.03766
ZEB2,4.5004044,1.8601799252123383e-76,Macrophage Cell,22.63376
MRC1,9.36646,3.1419390747878375e-74,Macrophage Cell,660.0629
SLC2A5,5.9407096,5.776831166424749e-70,Macrophage Cell,61.423107
CD52,5.4587927,5.836275297040443e-70,Macrophage Cell,43.98052
CXCR4,5.717122,1.2129934017900708e-69,Macrophage Cell,52.604782
C3AR1,9.123234,2.9782929515034326e-67,Macrophage Cell,557.6568
LIPA,4.252045,7.31626400843381e-62,Macrophage Cell,19.054306
LMO2,5.424116,1.3147506385395834e-60,Macrophage Cell,42.93601
CCL8,8.470445,9.941605957506187e-59,Macrophage Cell,354.69733
TNFRSF1B,6.052945,1.1630963082864614e-58,Macrophage Cell,66.39235
HCLS1,7.1766167,1.2862248063759766e-57,Macrophage Cell,144.66946
SPI1,7.175638,2.4215108628055104e-57,Macrophage Cell,144.57138
CD86,9.196998,1.6120388021658265e-56,Macrophage Cell,586.9108
GMFG,4.34582,3.5651220726302365e-56,Macrophage Cell,20.33397
MARCH1,8.791786,1.6016928776581562e-55,Macrophage Cell,443.19144
EGR2,3.4128768,3.4710821459796826e-55,Macrophage Cell,10.650704
RGS2,3.3660467,2.3319026325863917e-55,Macrophage Cell,10.310531
CORO1A,5.511768,3.783808517730856e-54,Macrophage Cell,45.62548
RGS10,5.3269215,1.994951597474466e-53,Macrophage Cell,40.138683
TAGAP,7.8630447,3.983705269483807e-52,Macrophage Cell,232.81573
SAMSN1,5.913337,1.6143190127093403e-50,Macrophage Cell,60.268707
PLCB2,8.409222,2.809998634942251e-50,Macrophage Cell,339.9601
