,threshold,percentage,acc,f1
unimap,0.0,1.0,0.9423265974877116,0.9361169837696494
unimap,0.01,1.0,0.9423265974877116,0.9361169837696494
unimap,0.02,1.0,0.9423265974877116,0.9361169837696494
unimap,0.03,1.0,0.9423265974877116,0.9361169837696494
unimap,0.04,1.0,0.9423265974877116,0.9361169837696494
unimap,0.05,1.0,0.9423265974877116,0.9361169837696494
unimap,0.06,1.0,0.9423265974877116,0.9361169837696494
unimap,0.07,1.0,0.9423265974877116,0.9361169837696494
unimap,0.08,0.9996723102129984,0.9425262237762237,0.9363591646524583
unimap,0.09,0.997596941561988,0.9439395598379503,0.9380698956848651
unimap,0.1,0.9949754232659749,0.9457679218355473,0.9401633142475168
unimap,0.11,0.9919169852539595,0.947362625261535,0.9419215496103647
unimap,0.12,0.9880939377389405,0.9500331638293168,0.9447515510522407
unimap,0.13,0.9842708902239213,0.9525024969481745,0.9477224150443498
unimap,0.14,0.9800109229929,0.9549710209540794,0.9505900706817597
unimap,0.15,0.975204806116876,0.9572132616487455,0.9531154236464856
unimap,0.16,0.9713817586018569,0.9591813786123917,0.9552685442807376
unimap,0.17,0.9673402512288367,0.9613821138211383,0.9576938719760537
unimap,0.18,0.963407973784817,0.9634920634920635,0.9599425847802762
unimap,0.19,0.9589295466957947,0.9658275430003417,0.9624988921799493
unimap,0.2,0.9551064991807755,0.9669487648673376,0.9637599502269534
unimap,0.21,0.9512834516657565,0.9685382937191411,0.9655461215757783
unimap,0.22,0.947788093937739,0.9701509738388844,0.9671891403157009
unimap,0.23,0.9441835062807209,0.9710782045349375,0.9681560135865035
unimap,0.24,0.9409066084107045,0.9721383793824008,0.9693123704704294
unimap,0.25,0.937192790824686,0.9734265734265735,0.9707041149932748
unimap,0.26,0.9334789732386674,0.9744909899368125,0.9718696895940487
unimap,0.27,0.9306389950846532,0.9752347417840376,0.9727333803182564
unimap,0.28,0.9276897870016384,0.9764511951018486,0.9739886089468931
unimap,0.29,0.9234298197706171,0.9779985805535841,0.9758285578385907
unimap,0.3,0.9213544511196068,0.9784232365145228,0.9762855995467344
unimap,0.31,0.9181867831785909,0.9798953128717582,0.977969600898727
unimap,0.32,0.9157837247405789,0.9803196564885496,0.978433429925549
unimap,0.33,0.911196067722556,0.9817789498921122,0.9800469833072389
unimap,0.34,0.9074822501365374,0.9825469427058258,0.9809432248464647
unimap,0.35,0.9038776624795194,0.9830815709969789,0.9815529510360615
unimap,0.36,0.9000546149645002,0.9836165048543689,0.9820926287218091
unimap,0.37,0.8957946477334789,0.9846360199975612,0.983154029439174
unimap,0.38,0.8926269797924631,0.9853157121879589,0.9838728976583135
unimap,0.39,0.8882577826324413,0.9862272503689129,0.9847608624222846
unimap,0.4,0.8844347351174222,0.9865382240335927,0.985139671822079
unimap,0.41,0.8818132168214091,0.9873652917131178,0.986183199292302
unimap,0.42,0.878208629164391,0.9883084577114428,0.9872130945581141
unimap,0.43,0.8748225013653741,0.9885129229616682,0.9874266135793541
unimap,0.44,0.8725286728563626,0.9892338507761642,0.9881538829161111
unimap,0.45,0.8703440742763517,0.9892068273092369,0.9880981476026611
unimap,0.46,0.8679410158383397,0.9896803423105965,0.9886595602398665
unimap,0.47,0.8656471873293282,0.9899053627760253,0.9888810441168875
unimap,0.48,0.8630256690333151,0.9901278319200101,0.9891470193481411
unimap,0.49,0.860404150737302,0.9907325123778088,0.9897347341001713
unimap,0.5,0.8575641725832879,0.9912113106610623,0.9902104155386978
unimap,0.51,0.8534134352812671,0.9916805324459235,0.9907625956454486
unimap,0.52,0.8507919169852539,0.9916548979329824,0.9907322296572669
unimap,0.53,0.8470780993992354,0.9923920051579626,0.9915687305048785
unimap,0.54,0.8444565811032223,0.9926270857586341,0.9918409258204238
unimap,0.55,0.8415073730202075,0.992601246105919,0.991785746235581
unimap,0.56,0.8376843255051885,0.9926978745599165,0.9917856189308265
unimap,0.57,0.8345166575641726,0.9926701570680628,0.9917519118029124
unimap,0.58,0.8314582195521573,0.9927745664739884,0.9918990003808239
unimap,0.59,0.827198252321136,0.9932655486597122,0.9924841257826914
unimap,0.6,0.8240305843801201,0.9939024390243902,0.9933010104498702
unimap,0.61,0.8196613872200983,0.9940031982942431,0.9933763254764867
unimap,0.62,0.8160567995630803,0.9941105608352295,0.993519259048623
unimap,0.63,0.8126706717640634,0.9942204301075269,0.9936419021420894
unimap,0.64,0.8084107045330421,0.9943250912038913,0.9937836052258875
unimap,0.65,0.8051338066630257,0.9943019943019943,0.993750947175708
unimap,0.66,0.8003276897870016,0.9944042582230108,0.9938036956667187
unimap,0.67,0.795412342981977,0.9945070035704476,0.9938952258403136
unimap,0.68,0.7926815947569634,0.9946258784621744,0.9940211591552752
unimap,0.69,0.7889677771709448,0.9948774747334902,0.9943473547626712
unimap,0.7,0.7832878208629165,0.9951192302328824,0.994635315467935
unimap,0.71,0.7777170944838886,0.9953651685393259,0.9949138570044386
unimap,0.72,0.7725832878208629,0.9957585183090626,0.9953644923598152
unimap,0.73,0.7676679410158384,0.995731360273193,0.9953243840456194
unimap,0.74,0.7616602949208083,0.9961279219847985,0.9957859192595795
unimap,0.75,0.7556526488257783,0.9963862387973402,0.9961040669149119
unimap,0.76,0.7490988530857455,0.9966462525517643,0.9963604999671251
unimap,0.77,0.7411250682687056,0.9967575534266765,0.9964908444224938
unimap,0.78,0.7355543418896777,0.9967329967329968,0.9964491546169019
unimap,0.79,0.7275805570726379,0.9966971926137217,0.996408733289537
unimap,0.8,0.7203713817586018,0.9968157695223654,0.9964855014571086
unimap,0.81,0.7134898962315674,0.9969381506429884,0.9965993468230813
unimap,0.82,0.7056253413435282,0.9969040247678018,0.9965611378502334
unimap,0.83,0.6968869470234844,0.9971786833855799,0.9969110672421477
unimap,0.84,0.6871654833424359,0.9972977269114608,0.9970252518936165
unimap,0.85,0.6797378481703987,0.9975895870159087,0.9973514429785163
unimap,0.86,0.6691425450573457,0.9978778974861248,0.9977122023460483
unimap,0.87,0.6590933915892955,0.9980112694729865,0.9978427413793375
unimap,0.88,0.6482796286182414,0.9979780960404381,0.9978062716194915
unimap,0.89,0.6371381758601857,0.9981141779530259,0.997967047240211
unimap,0.9,0.6233752048061169,0.9982477659015244,0.9981010478243946
unimap,0.91,0.6063353358820317,0.9983786705098181,0.9982292145894217
unimap,0.92,0.5877662479519389,0.998513287493031,0.998359670007954
unimap,0.93,0.5646095030038231,0.9984523118591604,0.9982924152959796
unimap,0.94,0.5409066084107045,0.9989903069466882,0.9989904605291583
unimap,0.95,0.5105406881485527,0.9991442019683354,0.9992152753498177
