Name,logfc,pvals_adj,celltype,fc
TYROBP,12.461317,0.0,Macrophage Cell,5639.365
VMO1,10.903104,0.0,Macrophage Cell,1914.967
RNASE6,13.534973,0.0,Macrophage Cell,11869.513
CD14,12.342149,0.0,Macrophage Cell,5192.2666
MS4A7,14.548097,0.0,Macrophage Cell,23955.953
CD83,11.97983,0.0,Macrophage Cell,4039.1326
CD52,9.940966,0.0,Macrophage Cell,982.94415
CD74,12.61591,0.0,Macrophage Cell,6277.2183
LAPTM5,10.407494,0.0,Macrophage Cell,1358.2126
CTSS,10.191227,0.0,Macrophage Cell,1169.1359
PRCP,9.136757,0.0,Macrophage Cell,562.9086
C1QC,12.7516775,0.0,Macrophage Cell,6896.638
GMFG,8.322066,0.0,Macrophage Cell,320.03064
PLEK,12.361816,0.0,Macrophage Cell,5263.535
CD53,10.1264715,0.0,Macrophage Cell,1117.8195
RGS1,9.788643,0.0,Macrophage Cell,884.45374
MARCKS,6.599055,0.0,Macrophage Cell,96.94233
CASP1,8.719621,4.731504815e-315,Macrophage Cell,421.56775
SLC2A5,8.923553,3.1808641516631284e-292,Macrophage Cell,485.57605
LST1,11.184709,2.5727604856745603e-271,Macrophage Cell,2327.731
SAMSN1,9.456677,1.3931278473051583e-269,Macrophage Cell,702.6573
LCP1,8.4258175,6.297057818832702e-270,Macrophage Cell,343.89337
CTSH,7.921201,2.892348333858872e-270,Macrophage Cell,242.3925
GPR34,11.5835905,6.965345641052451e-250,Macrophage Cell,3069.08
C3,9.492591,5.1428761908507144e-247,Macrophage Cell,720.36835
FOLR2,11.587283,4.983790003773043e-239,Macrophage Cell,3076.9456
LPL,8.102333,8.686935000132088e-250,Macrophage Cell,274.81805
MSR1,13.063904,3.04215031590672e-233,Macrophage Cell,8563.019
APOE,5.769984,2.431700491121e-311,Macrophage Cell,54.56802
SGK1,5.7365704,4.868600069334268e-292,Macrophage Cell,53.318726
PYCARD,8.447842,1.1075475629107011e-234,Macrophage Cell,349.18353
BST2,6.005265,6.21708946782481e-278,Macrophage Cell,64.234
FAM49B,7.5461736,6.447963100869562e-233,Macrophage Cell,186.90659
GPR183,7.4179025,5.437738937316088e-230,Macrophage Cell,171.00592
WDR83OS,6.6335435,2.3096606491735367e-237,Macrophage Cell,99.28773
COTL1,6.01967,1.431669751227052e-253,Macrophage Cell,64.87856
NCF4,9.959685,1.637180929954285e-212,Macrophage Cell,995.78143
RGS10,8.207291,3.340979536453153e-216,Macrophage Cell,295.55658
PTPRC,7.5861626,1.659120410088373e-221,Macrophage Cell,192.15977
IL7R,8.7748165,3.6824569846182164e-211,Macrophage Cell,438.00894
ITGB2,7.8436346,2.4432214774396075e-213,Macrophage Cell,229.70439
RASGEF1B,7.665535,4.5879250528703665e-208,Macrophage Cell,203.02802
SORL1,6.496764,5.3232735914092005e-220,Macrophage Cell,90.30689
CCL2,7.106018,2.0611541333915916e-213,Macrophage Cell,137.76045
TPM3,6.029952,1.2399110271468398e-220,Macrophage Cell,65.342606
GPSM3,7.8693724,7.054664748033569e-200,Macrophage Cell,233.8391
EGR2,5.829646,2.766070795669482e-209,Macrophage Cell,56.87198
HCST,7.144535,5.92633883299468e-190,Macrophage Cell,141.48792
CD86,10.704364,7.570388825573009e-181,Macrophage Cell,1668.5322
