Name,logfc,pvals_adj,celltype,fc
CTSS,13.069068,0.0,Macrophage Cell,8593.725
TYROBP,12.687932,0.0,Macrophage Cell,6598.544
FCER1G,12.355649,0.0,Macrophage Cell,5241.082
LAPTM5,11.672159,0.0,Macrophage Cell,3263.398
CSF1R,12.552195,2.845216688904447e-243,Macrophage Cell,6006.0244
C1QC,13.074383,1.913417525779746e-233,Macrophage Cell,8625.442
C1QB,12.393102,6.407806011589206e-236,Macrophage Cell,5378.9233
CD14,9.687959,1.8947130954026968e-237,Macrophage Cell,824.83325
LCP1,10.743292,5.174784682953364e-192,Macrophage Cell,1714.1669
CTSC,7.285622,1.5762881666097465e-291,Macrophage Cell,156.02377
SPI1,11.726452,3.748300364786146e-172,Macrophage Cell,3388.5488
SRGN,9.460069,6.2073791689835656e-189,Macrophage Cell,704.311
PLD4,12.000339,2.3017383844495332e-157,Macrophage Cell,4096.9614
CX3CR1,11.760385,7.732462259447453e-152,Macrophage Cell,3469.1934
CORO1A,9.933377,5.753092470433583e-156,Macrophage Cell,977.7876
CD74,10.668491,8.091323500905113e-154,Macrophage Cell,1627.5559
RGS10,6.7795444,5.409474952268323e-204,Macrophage Cell,109.86167
CD86,11.858664,3.684016211968609e-142,Macrophage Cell,3713.7566
UNC93B1,8.199858,1.9416050518668529e-156,Macrophage Cell,294.03775
GATM,10.363822,3.790801970401538e-142,Macrophage Cell,1317.7144
CCRL2,9.597271,1.4459910478488685e-144,Macrophage Cell,774.5803
CCL3,11.349178,1.2435505879258762e-133,Macrophage Cell,2608.8137
ALOX5AP,10.93181,5.632085464816287e-133,Macrophage Cell,1953.4524
TREM2,11.462074,2.547726980244317e-131,Macrophage Cell,2821.163
CD83,10.737381,1.6954005720378088e-122,Macrophage Cell,1707.1581
MRC1,11.802394,1.4285783195109031e-118,Macrophage Cell,3571.6968
RGS1,9.9788265,2.5070324195692677e-120,Macrophage Cell,1009.0812
MS4A7,11.593865,2.0831434253854413e-114,Macrophage Cell,3091.016
CTSH,5.501828,1.6401764929408712e-149,Macrophage Cell,45.312218
PTPRC,9.194504,5.762318993116015e-114,Macrophage Cell,585.8972
LST1,8.192418,7.859955060247357e-110,Macrophage Cell,292.5254
COTL1,5.1124005,3.763492471455702e-121,Macrophage Cell,34.592815
IL1B,10.224693,2.739702150370749e-95,Macrophage Cell,1196.5735
GMFG,8.578366,3.7741143852976e-95,Macrophage Cell,382.24832
CST3,1.3981978,8.900570741476224e-142,Macrophage Cell,2.6357212
C3AR1,11.673399,1.8240215931661708e-92,Macrophage Cell,3266.2036
STAB1,9.140097,8.940081101966674e-92,Macrophage Cell,564.21326
CD52,8.632856,6.727328208895162e-92,Macrophage Cell,396.9618
CD53,8.831679,5.602542828068337e-91,Macrophage Cell,455.6175
KCTD12,5.9345107,3.229286354691586e-95,Macrophage Cell,61.159756
B2M,2.6390827,2.992124715743225e-126,Macrophage Cell,6.2293544
PSMB8,5.311479,1.4284348270215319e-96,Macrophage Cell,39.711338
ARRB2,7.4421005,3.0609344176643798e-86,Macrophage Cell,173.89836
PLEK,8.748308,1.0765792116148424e-84,Macrophage Cell,430.03436
PTPN6,7.500084,3.493902261634346e-82,Macrophage Cell,181.02986
GPR183,8.614959,7.192056737092183e-81,Macrophage Cell,392.06766
TNF,9.983712,2.5396260977994926e-80,Macrophage Cell,1012.5042
GPR65,9.563684,4.105913512639557e-79,Macrophage Cell,756.75604
HCLS1,8.726156,3.371375090617172e-79,Macrophage Cell,423.4818
SLC15A3,8.664064,6.055011464409439e-78,Macrophage Cell,405.64233
UCP2,3.7854831,1.5282976370167887e-89,Macrophage Cell,13.789355
IRF8,6.9855924,7.542061260815269e-73,Macrophage Cell,126.72807
FAM49B,5.4331784,1.303907545776449e-75,Macrophage Cell,43.206562
SLAMF9,10.174342,1.5923785498044046e-70,Macrophage Cell,1155.5326
NCF1,10.794013,2.2649775743277524e-70,Macrophage Cell,1775.5042
CCR1,10.159936,9.848324515293153e-69,Macrophage Cell,1144.0513
NCF4,8.760112,1.1302898856250306e-67,Macrophage Cell,433.5672
LTC4S,8.520284,2.489239503432796e-66,Macrophage Cell,367.16473
MAFB,5.0831604,1.2560653864859086e-68,Macrophage Cell,33.898754
CCL2,6.081745,2.22342629890474e-62,Macrophage Cell,67.73103
ARHGAP30,7.8372436,9.801337292257011e-61,Macrophage Cell,228.68906
HPGDS,4.7646074,2.1080806207279186e-63,Macrophage Cell,27.182524
IGSF6,9.962403,1.5794599248553457e-58,Macrophage Cell,997.65924
RUNX1,4.601176,1.5877380567435282e-62,Macrophage Cell,24.271238
LMO2,6.1855783,6.531759628744424e-59,Macrophage Cell,72.78546
NCKAP1L,9.239485,7.350733160217322e-58,Macrophage Cell,604.45233
FERMT3,6.2536473,6.281936693880851e-56,Macrophage Cell,76.30191
C5AR1,9.872716,8.008757595829875e-55,Macrophage Cell,937.5267
ARL4C,6.7810864,5.710777263813702e-55,Macrophage Cell,109.979164
SLCO2B1,7.018426,2.1506558133075303e-54,Macrophage Cell,129.64528
GPR34,8.976414,1.2951373465544983e-53,Macrophage Cell,503.69748
CD48,7.400584,1.3692391068188427e-51,Macrophage Cell,168.96542
TNFAIP3,5.898902,1.1133834406031259e-51,Macrophage Cell,59.66868
RGS2,4.3670397,3.7306394187374294e-52,Macrophage Cell,20.63526
IER5,3.38584,1.4234841902044426e-54,Macrophage Cell,10.452963
NLRP3,8.747806,6.173891774424128e-49,Macrophage Cell,429.88458
HPGD,4.6805506,9.785599315308651e-50,Macrophage Cell,25.64402
IL10RA,8.406156,1.1544065565427254e-47,Macrophage Cell,339.2384
REL,4.719387,6.741813766294302e-49,Macrophage Cell,26.343718
CLEC2D,4.1058455,2.9211672220958255e-50,Macrophage Cell,17.217997
MARCKS,2.9543025,1.1034548363832273e-51,Macrophage Cell,7.750571
F13A1,9.268105,3.275949817218117e-45,Macrophage Cell,616.563
LIMD2,4.983761,8.043034334291441e-44,Macrophage Cell,31.641823
ITGB2,6.5935903,6.325517392217566e-40,Macrophage Cell,96.575836
OSM,8.584167,7.779129128336125e-39,Macrophage Cell,383.7882
RUNX3,6.5297093,9.207023284319181e-39,Macrophage Cell,92.39285
PYCARD,3.5086737,1.2886321198583866e-37,Macrophage Cell,11.381932
SLC11A1,7.597045,3.419573439511733e-35,Macrophage Cell,193.61475
ARHGAP15,6.1017213,3.759300390671381e-35,Macrophage Cell,68.675385
PSMB9,3.8828309,1.0176306904196647e-35,Macrophage Cell,14.751921
WAS,7.1579733,1.4764290245164617e-34,Macrophage Cell,142.812
LCP2,6.5894074,1.5517128700338106e-34,Macrophage Cell,96.296234
SLA,7.084598,1.7228713871024924e-34,Macrophage Cell,135.73021
MSR1,8.3122015,4.602429268994756e-34,Macrophage Cell,317.84982
CCR5,7.2937074,8.795443748155533e-34,Macrophage Cell,156.90063
PREX1,5.279129,7.8944389573215e-34,Macrophage Cell,38.830784
TAGAP,7.0777173,1.5312602174202351e-33,Macrophage Cell,135.0844
BANK1,8.548259,3.540280974722816e-33,Macrophage Cell,374.35385
VAV1,7.521556,1.9501569641544174e-32,Macrophage Cell,183.74432
MARCH1,7.8412876,2.69684973179823e-32,Macrophage Cell,229.33101
PLTP,3.5643609,6.236830514068727e-33,Macrophage Cell,11.829859
CFP,5.9798694,7.71759601288743e-32,Macrophage Cell,63.11318
RASSF4,4.3310714,4.1618987191292083e-32,Macrophage Cell,20.127155
DOCK8,5.792084,1.4970802380315098e-31,Macrophage Cell,55.410374
CASP1,6.928664,2.002395167604028e-31,Macrophage Cell,121.824814
TNFAIP8,3.4041522,4.238641829789435e-32,Macrophage Cell,10.586489
RASGEF1B,4.456767,4.616805468336333e-31,Macrophage Cell,21.959406
BIN2,6.044655,2.3952135623808865e-30,Macrophage Cell,66.01193
DOCK10,4.4871325,1.8427828401654057e-30,Macrophage Cell,22.4265
KLF6,2.3447933,3.3025927190488647e-32,Macrophage Cell,5.079876
LPAR6,3.673543,2.0326941615264216e-30,Macrophage Cell,12.759881
SH3BGRL3,2.509686,1.548357175452994e-31,Macrophage Cell,5.694961
FMNL1,5.9788723,1.7402649018365897e-29,Macrophage Cell,63.069576
SLC9A9,4.6363583,1.458464208008366e-29,Macrophage Cell,24.870407
CREB5,4.427792,2.8306141065128288e-27,Macrophage Cell,21.522774
CD84,5.7534127,5.228739255825875e-27,Macrophage Cell,53.944828
CD93,4.683529,3.614556184636201e-26,Macrophage Cell,25.697016
ABCA9,3.4101622,2.575274326985067e-25,Macrophage Cell,10.630682
P2RY13,10.17228,7.094357135586238e-25,Macrophage Cell,1153.8823
CD163,7.9140244,7.932980440627959e-25,Macrophage Cell,241.18968
