,threshold,percentage,acc,f1
unimap,0.0,1.0,0.294059601342017,0.2451048584188973
unimap,0.01,1.0,0.294059601342017,0.2451048584188973
unimap,0.02,1.0,0.294059601342017,0.2451048584188973
unimap,0.03,1.0,0.294059601342017,0.2451048584188973
unimap,0.04,1.0,0.294059601342017,0.2451048584188973
unimap,0.05,1.0,0.294059601342017,0.2451048584188973
unimap,0.06,1.0,0.294059601342017,0.2451048584188973
unimap,0.07,1.0,0.294059601342017,0.2451048584188973
unimap,0.08,0.9925004933885928,0.29628156691191093,0.247846144708651
unimap,0.09,0.9619104006315374,0.3057037340993024,0.2586556786461599
unimap,0.1,0.9133609630945333,0.320656871218669,0.27519963762645555
unimap,0.11,0.858693507006118,0.33969202482188005,0.29583851717200377
unimap,0.12,0.8028419182948491,0.36012782694198625,0.31931551796908075
unimap,0.13,0.7533057035721334,0.37987948650772857,0.34074105127547977
unimap,0.14,0.7138346161436747,0.39867293337019627,0.3610490913913529
unimap,0.15,0.6733767515295046,0.4191090269636577,0.38286575605522893
unimap,0.16,0.6437734359581606,0.43592887798896385,0.40111139531422946
unimap,0.17,0.6143674758239589,0.4542242210086733,0.4213256974230586
unimap,0.18,0.590882178804026,0.46893787575150303,0.4370120848344376
unimap,0.19,0.5697651470298006,0.48146865258053345,0.4512534863748204
unimap,0.2,0.5506216696269982,0.4956989247311828,0.4665447235079628
unimap,0.21,0.5340438129070456,0.5066518847006651,0.47762741307596857
unimap,0.22,0.5176633116242353,0.5200152497140679,0.4927765001261548
unimap,0.23,0.5012828103414249,0.5322834645669291,0.5061880983300951
unimap,0.24,0.48352082099861854,0.5461224489795918,0.5217731793411737
unimap,0.25,0.4691138740872311,0.5595288178376104,0.535017820623848
unimap,0.26,0.459640813104401,0.5689136968656076,0.5446458324609045
unimap,0.27,0.448194197750148,0.5803610744165566,0.5576839737864283
unimap,0.28,0.4369449378330373,0.5916892502258356,0.5707822892750806
unimap,0.29,0.42431418985593056,0.6037209302325581,0.5830332330842672
unimap,0.3,0.41622261693309653,0.6097676623992413,0.5891569814775373
unimap,0.31,0.40951253207025856,0.619277108433735,0.598546534122171
unimap,0.32,0.40003947108742843,0.6285150468672915,0.6088642870167266
unimap,0.33,0.392342609038879,0.6348088531187123,0.6160783340685221
unimap,0.34,0.38622459048746793,0.6397547266223812,0.6222909465407025
unimap,0.35,0.3783303730017762,0.6489306207616067,0.6310227776313388
unimap,0.36,0.3692520228932307,0.6574024585783004,0.6397137738732236
unimap,0.37,0.36313400434181964,0.6657608695652174,0.6486328620463091
unimap,0.38,0.35563449773041245,0.6759156492785794,0.6597285159065668
unimap,0.39,0.34833234655614764,0.6844192634560906,0.6690376673132054
unimap,0.4,0.3410301953818828,0.6915509259259259,0.6765952516852894
unimap,0.41,0.33570159857904086,0.6972369194591417,0.6825320470039192
unimap,0.42,0.331754489836195,0.7019631171921475,0.6873368471710913
